,Time,VarName,Value
113,86400.0,GasRoom1.ports[7].h_outflow,45300.94140625
114,86400.0,GasRoom1.ports[7].m_flow,0.0
115,86400.0,GasRoom1.ports[7].p,100040.046875
116,86400.0,GasRoom1.ports[8].Xi_outflow[1],0.009999999776482582
117,86400.0,GasRoom1.ports[8].h_outflow,45300.94140625
118,86400.0,GasRoom1.ports[8].m_flow,0.0
119,86400.0,GasRoom1.ports[8].p,100040.046875
120,86400.0,GasRoom1.prescribedHeatFlowRate,0.0
121,86400.0,GasRoom1.simplify_mWat_flow,1.0
122,86400.0,GasRoom1.substanceDynamics,2.0
123,86400.0,GasRoom1.traceDynamics,2.0
124,86400.0,GasRoom1.use_C_flow,0.0
125,86400.0,GasRoom2.T,293.1499938964844
126,86400.0,GasRoom2.T_start,293.1499938964844
127,86400.0,GasRoom2.U,-978323.6875
128,86400.0,GasRoom2.V,21.100000381469727
129,86400.0,GasRoom2.X_start[1],0.009999999776482582
130,86400.0,GasRoom2.X_start[2],0.9900000095367432
131,86400.0,GasRoom2.Xi[1],0.009999999776482582
132,86400.0,GasRoom2.allowFlowReversal,1.0
133,86400.0,GasRoom2.energyDynamics,2.0
134,86400.0,GasRoom2.heatPort.Q_flow,0.0
135,86400.0,GasRoom2.heatPort.T,293.1499938964844
136,86400.0,GasRoom2.m,24.997692108154297
137,86400.0,GasRoom2.mSenFac,1.0
138,86400.0,GasRoom2.mXi[1],0.24997693300247192
139,86400.0,GasRoom2.m_flow_nominal,10.0
140,86400.0,GasRoom2.m_flow_small,0.0010000000474974513
141,86400.0,GasRoom2.massDynamics,2.0
142,86400.0,GasRoom2.nPorts,8.0
143,86400.0,GasRoom2.p,100035.203125
144,86400.0,GasRoom2.p_start,101325.0
145,86400.0,GasRoom2.ports[1].Xi_outflow[1],0.009999999776482582
146,86400.0,GasRoom2.ports[1].h_outflow,45300.94140625
147,86400.0,GasRoom2.ports[1].m_flow,0.18498243391513824
148,86400.0,GasRoom2.ports[1].p,100035.203125
149,86400.0,GasRoom2.ports[2].Xi_outflow[1],0.009999999776482582
150,86400.0,GasRoom2.ports[2].h_outflow,45300.94140625
151,86400.0,GasRoom2.ports[2].m_flow,-0.03209098428487778
152,86400.0,GasRoom2.ports[2].p,100035.203125
153,86400.0,GasRoom2.ports[3].Xi_outflow[1],0.009999999776482582
154,86400.0,GasRoom2.ports[3].h_outflow,45300.94140625
155,86400.0,GasRoom2.ports[3].m_flow,-0.1529824286699295
156,86400.0,GasRoom2.ports[3].p,100035.203125
157,86400.0,GasRoom2.ports[4].Xi_outflow[1],0.009999999776482582
158,86400.0,GasRoom2.ports[4].h_outflow,45300.94140625
159,86400.0,GasRoom2.ports[4].m_flow,-0.009267724119126797
160,86400.0,GasRoom2.ports[4].p,100035.203125
161,86400.0,GasRoom2.ports[5].Xi_outflow[1],0.009999999776482582
162,86400.0,GasRoom2.ports[5].h_outflow,45300.94140625
163,86400.0,GasRoom2.ports[5].m_flow,0.009358707815408707
164,86400.0,GasRoom2.ports[5].p,100035.203125
165,86400.0,GasRoom2.ports[6].Xi_outflow[1],0.009999999776482582
166,86400.0,GasRoom2.ports[6].h_outflow,45300.94140625
167,86400.0,GasRoom2.ports[6].m_flow,0.0
168,86400.0,GasRoom2.ports[6].p,100035.203125
169,86400.0,GasRoom2.ports[7].Xi_outflow[1],0.009999999776482582
170,86400.0,GasRoom2.ports[7].h_outflow,45300.94140625
171,86400.0,GasRoom2.ports[7].m_flow,0.0
172,86400.0,GasRoom2.ports[7].p,100035.203125
173,86400.0,GasRoom2.ports[8].Xi_outflow[1],0.009999999776482582
174,86400.0,GasRoom2.ports[8].h_outflow,45300.94140625
175,86400.0,GasRoom2.ports[8].m_flow,0.0
176,86400.0,GasRoom2.ports[8].p,100035.203125
177,86400.0,GasRoom2.prescribedHeatFlowRate,0.0
178,86400.0,GasRoom2.simplify_mWat_flow,1.0
179,86400.0,GasRoom2.substanceDynamics,2.0
180,86400.0,GasRoom2.traceDynamics,2.0
181,86400.0,GasRoom2.use_C_flow,0.0
182,86400.0,Q_h,0.4913070797920227
183,86400.0,combiTimeTable.columns[1],2.0
184,86400.0,combiTimeTable.columns[2],3.0
185,86400.0,combiTimeTable.columns[3],4.0
186,86400.0,combiTimeTable.columns[4],5.0
187,86400.0,combiTimeTable.extrapolation,2.0
188,86400.0,combiTimeTable.nout,4.0
189,86400.0,combiTimeTable.offset[1],0.0
190,86400.0,combiTimeTable.smoothness,3.0
191,86400.0,combiTimeTable.startTime,0.0
192,86400.0,combiTimeTable.t_max,86400.0
193,86400.0,combiTimeTable.t_maxScaled,86400.0
194,86400.0,combiTimeTable.t_min,0.0
195,86400.0,combiTimeTable.t_minScaled,0.0
196,86400.0,combiTimeTable.tableOnFile,0.0
197,86400.0,"combiTimeTable.table[1, 1]",0.0
198,86400.0,"combiTimeTable.table[1, 2]",0.23100000619888306
199,86400.0,"combiTimeTable.table[1, 3]",0.0
200,86400.0,"combiTimeTable.table[1, 4]",0.0
201,86400.0,"combiTimeTable.table[1, 5]",0.0
202,86400.0,"combiTimeTable.table[10, 1]",37860.0
203,86400.0,"combiTimeTable.table[10, 2]",0.6501938700675964
204,86400.0,"combiTimeTable.table[10, 3]",1.0
205,86400.0,"combiTimeTable.table[10, 4]",2.0
206,86400.0,"combiTimeTable.table[10, 5]",0.0
207,86400.0,"combiTimeTable.table[11, 1]",43140.0
208,86400.0,"combiTimeTable.table[11, 2]",0.6262698173522949
209,86400.0,"combiTimeTable.table[11, 3]",1.0
210,86400.0,"combiTimeTable.table[11, 4]",2.0
211,86400.0,"combiTimeTable.table[11, 5]",0.0
212,86400.0,"combiTimeTable.table[12, 1]",43200.0
213,86400.0,"combiTimeTable.table[12, 2]",0.5429626107215881
214,86400.0,"combiTimeTable.table[12, 3]",0.0
215,86400.0,"combiTimeTable.table[12, 4]",0.0
216,86400.0,"combiTimeTable.table[12, 5]",3.0
217,86400.0,"combiTimeTable.table[13, 1]",44940.0
218,86400.0,"combiTimeTable.table[13, 2]",0.5216455459594727
219,86400.0,"combiTimeTable.table[13, 3]",0.0
220,86400.0,"combiTimeTable.table[13, 4]",0.0
221,86400.0,"combiTimeTable.table[13, 5]",3.0
222,86400.0,"combiTimeTable.table[14, 1]",45000.0
223,86400.0,"combiTimeTable.table[14, 2]",0.5368174314498901
224,86400.0,"combiTimeTable.table[14, 3]",0.0
225,86400.0,"combiTimeTable.table[14, 4]",0.0
226,86400.0,"combiTimeTable.table[14, 5]",0.0
227,86400.0,"combiTimeTable.table[15, 1]",48540.0
228,86400.0,"combiTimeTable.table[15, 2]",0.5161011219024658
229,86400.0,"combiTimeTable.table[15, 3]",0.0
230,86400.0,"combiTimeTable.table[15, 4]",0.0
231,86400.0,"combiTimeTable.table[15, 5]",0.0
232,86400.0,"combiTimeTable.table[16, 1]",48600.0
233,86400.0,"combiTimeTable.table[16, 2]",0.5342278480529785
234,86400.0,"combiTimeTable.table[16, 3]",2.0
235,86400.0,"combiTimeTable.table[16, 4]",1.0
236,86400.0,"combiTimeTable.table[16, 5]",0.0
237,86400.0,"combiTimeTable.table[17, 1]",53940.0
238,86400.0,"combiTimeTable.table[17, 2]",0.5888159275054932
239,86400.0,"combiTimeTable.table[17, 3]",2.0
240,86400.0,"combiTimeTable.table[17, 4]",1.0
241,86400.0,"combiTimeTable.table[17, 5]",0.0
242,86400.0,"combiTimeTable.table[18, 1]",54000.0
243,86400.0,"combiTimeTable.table[18, 2]",0.5910685062408447
244,86400.0,"combiTimeTable.table[18, 3]",2.0
245,86400.0,"combiTimeTable.table[18, 4]",1.0
246,86400.0,"combiTimeTable.table[18, 5]",1.0
247,86400.0,"combiTimeTable.table[19, 1]",55740.0
248,86400.0,"combiTimeTable.table[19, 2]",0.6830203533172607
249,86400.0,"combiTimeTable.table[19, 3]",2.0
250,86400.0,"combiTimeTable.table[19, 4]",1.0
251,86400.0,"combiTimeTable.table[19, 5]",1.0
252,86400.0,"combiTimeTable.table[2, 1]",25200.0
