Time,source1,source2,source3
25200,0,0,0
28740,0,0,0
28800,0,0,3
30540,0,0,3
30600,1,2,0
36000,1,2,0
36060,1,2,1
37800,1,2,1
37860,1,2,0
43140,1,2,0
43200,0,0,3
44940,0,0,3
45000,0,0,0
48540,0,0,0
48600,2,1,0
53940,2,1,0
54000,2,1,1
55740,2,1,1
55800,2,1,0
64740,2,1,0
64800,0,0,3
66540,0,0,3
66600,0,0,0
68400,0,0,0
86400,0,0,0
